pfam_acc,pfam_name,n_anchor_in_dom
PF03602,Conserved hypothetical protein 95,1
PF03328,HpcH/HpaI aldolase/citrate lyase,1
PF03352,Methyladenine glycosylase,1
PF00929,Exonuclease,1
PF00941,FAD binding domain in molybdopterin dehydrogenase,1
PF00988,"Carbamoyl-phosphate synthase small chain, CPSase domain",1
PF03629,"Carbohydrate esterase, sialic acid-specific acetylesterase",1
PF03702,Anhydro-N-acetylmuramic acid kinase,1
PF03710,Glutamate-ammonia ligase adenylyltransferase,1
PF03747,ADP-ribosylglycohydrolase,1
PF03749,Sugar fermentation stimulation protein RE domain,1
PF00625,Guanylate kinase,1
PF00636,Ribonuclease III domain,1
PF00567,Tudor domain,1
PF00576,HIUase/Transthyretin family,1
PF00579,tRNA synthetases class I (W and Y),1
PF00908,"dTDP-4-dehydrorhamnose 3,5-epimerase",1
PF00916,Sulfate permease family,1
PF00926,"3,4-dihydroxy-2-butanone 4-phosphate synthase",1
PF00459,Inositol monophosphatase family,1
PF00462,Glutaredoxin,1
PF00475,Imidazoleglycerol-phosphate dehydratase,1
PF00479,"Glucose-6-phosphate dehydrogenase, NAD binding domain",1
PF00355,Rieske [2Fe-2S] domain,1
PF00359,"Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2",1
PF00368,Hydroxymethylglutaryl-coenzyme A reductase,1
PF00398,Ribosomal RNA adenine dimethylase,1
PF08669,Glycine cleavage T-protein C-terminal barrel domain,1
PF08704,tRNA methyltransferase complex GCD14 subunit,1
PF08713,DNA alkylation repair enzyme,1
PF08732,HIM1,1
PF09140,ATPase MipZ,1
PF09286,"Pro-kumamolisin, activation domain",1
PF09312,SurA N-terminal domain,1
PF09349,OHCU decarboxylase,1
PF04229,GrpB protein,1
PF04480,Protein of unknown function (DUF559),1
PF04542,Sigma-70 region 2,1
PF04672,S-adenosyl methyltransferase,1
PF04055,Radical SAM superfamily,1
PF04073,Aminoacyl-tRNA editing domain,1
PF04127,DNA/pantothenate metabolism flavoprotein C-terminal domain,1
PF04203,Sortase domain,1
PF06445,GyrI-like small molecule binding domain,1
PF04794,YdjC-like protein,1
PF04909,Amidohydrolase,1
PF05175,Methyltransferase small domain,1
PF05222,"Alanine dehydrogenase/PNT, N-terminal domain",1
PF05239,PRC-barrel domain,1
PF05496,Holliday junction DNA helicase RuvB P-loop domain,1
PF05544,Proline racemase,1
PF07228,Stage II sporulation protein E (SpoIIE),1
PF07244,Surface antigen variable number repeat,1
PF13230,Glutamine amidotransferases class-II,1
PF13238,AAA domain,1
PF13343,Bacterial extracellular solute-binding protein,1
PF13350,Tyrosine phosphatase family,1
PF13365,Trypsin-like peptidase domain,1
PF12704,MacB-like periplasmic core domain,1
PF08450,SMP-30/Gluconolactonase/LRE-like region,1
PF08544,GHMP kinases C terminal,1
PF07714,Protein tyrosine and serine/threonine kinase,1
PF07963,Prokaryotic N-terminal methylation motif,1
PF07995,Glucose / Sorbosone dehydrogenase,1
PF06742,Protein of unknown function (DUF1214),1
PF06745,KaiC,1
PF06821,Serine hydrolase,1
PF00694,Aconitase C-terminal domain,1
PF00698,Acyl transferase domain,1
PF00701,Dihydrodipicolinate synthetase family,1
PF00704,Glycosyl hydrolases family 18,1
PF00708,Acylphosphatase,1
PF00639,PPIC-type PPIASE domain,1
PF08275,"DNA primase catalytic core, N-terminal domain",1
PF08443,RimK-like ATP-grasp domain,1
PF00407,Pathogenesis-related protein Bet v 1 family,1
PF00410,Ribosomal protein S8,1
PF00308,Bacterial DnaA ATPAse domain,1
PF00314,Thaumatin family,1
PF00316,"Fructose-1-6-bisphosphatase, N-terminal domain",1
PF00318,Ribosomal protein S2,1
PF00326,Prolyl oligopeptidase family,1
PF00692,dUTPase,1
PF27449,Lipoteichoic acid synthase N-terminal domain,1
PF14437,MafB19-like deaminase,1
PF14520,Helix-hairpin-helix domain,1
PF14586,"Class I Histocompatibility antigen, NKG2D ligand, domains 1 and 2",1
PF14651,Lipocalin / cytosolic fatty-acid binding protein family,1
PF14841,FliG middle domain,1
