protein,base_setup,variant,alpha,anchor_positions,segment_metric,faithfulness,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
1IN4A,clean,v_only,16.0,"[55, 106, 151]",0.592088520526886,0.3690671870160703,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
1IN4A,clean,v_only,32.0,"[55, 106, 151]",0.00975379440933466,-0.6144861541459605,0.13809166848659515,0.1355827897787094,0.08013622462749481,7.512201309204102,0.8960479815524639
1MJ5A,clean,clean_baseline,nan,"[238, 103, 127]",0.8945257067680359,1.0,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
1MJ5A,corrupt,corrupt_baseline,nan,"[238, 103, 108]",0.0078092156909406185,0.0,0.6829830408096313,0.6100217700004578,0.5677255988121033,4.145258903503418,0.5031628130281705
1MJ5A,clean,corrupt_head_patch,nan,"[238, 103, 127]",0.8906804323196411,0.9956634679888225,0.6829830408096313,0.6097288131713867,0.5677255988121033,4.145258903503418,0.5031628130281705
1MJ5A,clean,ln_all,0.0,"[238, 103, 127]",0.8945257067680359,1.0,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
1MJ5A,clean,ln_all,0.5,"[238, 103, 127]",0.8792272806167603,0.982747105410555,0.34484511613845825,0.3137410581111908,0.2952575087547302,6.278703689575195,0.762126150418967
1MJ5A,clean,ln_all,1.0,"[238, 103, 127]",0.8463786840438843,0.9457018977219344,0.09882157295942307,0.08218538761138916,0.07789862155914307,7.659433841705322,0.9297229359397572
1MJ5A,clean,ln_all,2.0,"[238, 103, 127]",0.27230650186538696,0.29828844826508333,0.0630863606929779,0.002503117313608527,0.024253984913229942,7.917900562286377,0.9610963302751063
1MJ5A,clean,ln_all,4.0,"[238, 103, 127]",0.20183327794075012,0.2188118346757353,0.06305409967899323,3.403840310056694e-06,0.024307262152433395,7.91091251373291,0.9602481019135997
1MJ5A,clean,ln_all,8.0,"[238, 103, 127]",0.012080046348273754,0.004816455654439621,0.06298110634088516,8.440276949572834e-11,0.02420947328209877,7.911489963531494,0.9603181943425171
1MJ5A,clean,ln_all,10.0,"[238, 103, 127]",0.016464339569211006,0.009760869415834369,0.06295078247785568,5.401635085403034e-13,0.024165809154510498,7.911948204040527,0.9603738168232682
1MJ5A,clean,ln_all,12.0,"[238, 103, 127]",0.009114738553762436,0.0014723114726737491,0.06295078247785568,3.58450578992627e-15,0.024138549342751503,7.912257194519043,0.9604113229289152
1MJ5A,clean,ln_all,14.0,"[238, 103, 127]",0.00969688594341278,0.002128831787236987,0.06295078247785568,2.428308298465988e-17,0.024123508483171463,7.9124345779418945,0.9604328542117866
1MJ5A,clean,ln_all,16.0,"[238, 103, 127]",0.01173503790050745,0.0044273702463773195,0.06295078247785568,1.670130906496496e-19,0.02411571890115738,7.912528991699219,0.9604443144107342
1MJ5A,clean,ln_all,32.0,"[238, 103, 127]",0.0063227093778550625,-0.0016764166766312146,0.06295078247785568,1.2790959111931145e-36,0.024108048528432846,7.9126296043396,0.9604565270469866
1MJ5A,clean,k_only,0.0,"[238, 103, 127]",0.8945257067680359,1.0,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
1MJ5A,clean,k_only,0.5,"[238, 103, 127]",0.8916841149330139,0.9967953772557333,0.6960504651069641,0.5930641293525696,0.5493850708007812,4.244606971740723,0.5152219520703539
1MJ5A,clean,k_only,1.0,"[238, 103, 127]",0.8881679177284241,0.9928299641389448,0.6262283325195312,0.537777841091156,0.5004972219467163,4.66609525680542,0.5663833478018323
1MJ5A,clean,k_only,2.0,"[238, 103, 127]",0.8792257905006409,0.9827454249228971,0.47618210315704346,0.4190465211868286,0.3926953673362732,5.5428853034973145,0.6728105111222551
1MJ5A,clean,k_only,4.0,"[238, 103, 127]",0.8605762720108032,0.961713315249168,0.21146345138549805,0.19913174211978912,0.1879960298538208,7.017969131469727,0.8518602027368548
1MJ5A,clean,k_only,8.0,"[238, 103, 127]",0.7014584541320801,0.7822672132764364,0.07018838822841644,0.02235567197203636,0.023791687563061714,7.8910722732543945,0.9578398395003911
1MJ5A,clean,k_only,10.0,"[238, 103, 127]",0.413464218378067,0.4574799349839281,0.06285680085420609,0.006481698714196682,0.02413390390574932,7.919205665588379,0.9612547472676306
1MJ5A,clean,k_only,12.0,"[238, 103, 127]",0.3233371376991272,0.3558385630393707,0.06311938911676407,0.0018585713114589453,0.02423706278204918,7.917999267578125,0.961108311392188
1MJ5A,clean,k_only,14.0,"[238, 103, 127]",0.29959192872047424,0.32905975694114464,0.06296544522047043,0.0005478524835780263,0.024267662316560745,7.9149932861328125,0.9607434371792274
1MJ5A,clean,k_only,16.0,"[238, 103, 127]",0.2919904589653015,0.3204871524709839,0.06297706067562103,0.00016823720943648368,0.02427697740495205,7.913372993469238,0.9605467616437514
1MJ5A,clean,k_only,32.0,"[238, 103, 127]",0.28878912329673767,0.3168768263963271,0.06298110634088516,4.982991086421862e-08,0.024281419813632965,7.9121904373168945,0.9604032197579421
1MJ5A,clean,v_only,0.0,"[238, 103, 127]",0.8945257067680359,1.0,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
1MJ5A,clean,v_only,0.5,"[238, 103, 127]",0.8956843018531799,1.0013066127638346,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
1MJ5A,clean,v_only,1.0,"[238, 103, 127]",0.8963912725448608,1.002103903328288,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
1MJ5A,clean,v_only,2.0,"[238, 103, 127]",0.8959857821464539,1.0016466090267977,0.7550017833709717,0.6442575454711914,0.5934540033340454,3.8484160900115967,0.4671312240392396
