protein,n_res,anchor_pos,radius_int,jump_from_radius,jump_to_radius,jump_from_alpha_norm,jump_to_alpha_norm,max_jump_alpha_norm,steering_mode,alpha,n_visible,P_L5_visible,P_L2_visible,P_L_visible,full_P_L5_visible,full_P_L2_visible,full_P_L_visible,delta_vs_full_P_L5_visible,delta_vs_full_P_L2_visible,delta_vs_full_P_L_visible,l10h9_top3_mass,l10h9_anchor_mass,l10h9_top1_mass,l10h9_entropy,l10h9_entropy_norm
1G3QA,237,115,30,20,30,-0.15603637552954547,0.8337554122626584,0.9897917877922038,direct,10.0,61,0.0,0.0,0.01639344262295082,0.5833333333333334,0.43333333333333335,0.21311475409836064,-0.5833333333333334,-0.43333333333333335,-0.19672131147540983,0.05748534947633743,1.0193420009780457e-15,0.019114576280117035,7.597613334655762,0.9630955267452573
1G3QA,237,115,30,20,30,-0.15603637552954547,0.8337554122626584,0.9897917877922038,direct,12.0,61,0.0,0.03333333333333333,0.03278688524590164,0.5833333333333334,0.43333333333333335,0.21311475409836064,-0.5833333333333334,-0.4,-0.180327868852459,0.05748534947633743,2.0263137408884874e-18,0.019110169261693954,7.5972089767456055,0.9630442691624715
1G3QA,237,115,30,20,30,-0.15603637552954547,0.8337554122626584,0.9897917877922038,direct,14.0,61,0.0,0.0,0.01639344262295082,0.5833333333333334,0.43333333333333335,0.21311475409836064,-0.5833333333333334,-0.43333333333333335,-0.19672131147540983,0.05748534947633743,4.175604500993416e-21,0.019106781110167503,7.596776485443115,0.9629894453091853
1G3QA,237,115,30,20,30,-0.15603637552954547,0.8337554122626584,0.9897917877922038,direct,16.0,61,0.0,0.0,0.03278688524590164,0.5833333333333334,0.43333333333333335,0.21311475409836064,-0.5833333333333334,-0.43333333333333335,-0.180327868852459,0.05748534947633743,8.818841720255787e-24,0.019104277715086937,7.5963134765625,0.9629307529590851
1G3QA,237,115,30,20,30,-0.15603637552954547,0.8337554122626584,0.9897917877922038,direct,32.0,61,0.0,0.03333333333333333,0.01639344262295082,0.5833333333333334,0.43333333333333335,0.21311475409836064,-0.5833333333333334,-0.4,-0.19672131147540983,0.05748534947633743,5.605193857299268e-45,0.019098985940217972,7.592894077301025,0.9624972999801265
1H4XA,117,46,30,20,30,-0.1452349096404003,0.9639661514507164,1.1092010610911167,direct,0.0,61,1.0,0.7666666666666667,0.6065573770491803,1.0,0.7333333333333333,0.6229508196721312,0.0,0.03333333333333344,-0.016393442622950838,0.9842631816864014,0.978381872177124,0.978381872177124,0.22128859162330627,0.03220914764430795
1H4XA,117,46,30,20,30,-0.1452349096404003,0.9639661514507164,1.1092010610911167,direct,0.5,61,1.0,0.7666666666666667,0.6065573770491803,1.0,0.7333333333333333,0.6229508196721312,0.0,0.03333333333333344,-0.016393442622950838,0.8824489712715149,0.8571146726608276,0.8571146726608276,1.1991208791732788,0.17453525804172873
1H4XA,117,46,30,20,30,-0.1452349096404003,0.9639661514507164,1.1092010610911167,direct,1.0,61,1.0,0.7666666666666667,0.6557377049180327,1.0,0.7333333333333333,0.6229508196721312,0.0,0.03333333333333344,0.032786885245901565,0.4943171441555023,0.4306536018848419,0.4306536018848419,4.145744323730469,0.6034241984145862
1H4XA,117,46,30,20,30,-0.1452349096404003,0.9639661514507164,1.1092010610911167,direct,2.0,61,0.9166666666666666,0.8,0.639344262295082,1.0,0.7333333333333333,0.6229508196721312,-0.08333333333333337,0.06666666666666676,0.016393442622950838,0.13057729601860046,0.010097137652337551,0.07509021461009979,6.354242324829102,0.9248770020486483
1H4XA,117,46,30,20,30,-0.1452349096404003,0.9639661514507164,1.1092010610911167,direct,4.0,61,1.0,0.7666666666666667,0.5737704918032787,1.0,0.7333333333333333,0.6229508196721312,0.0,0.03333333333333344,-0.049180327868852514,0.13212144374847412,1.834932845667936e-06,0.07627709209918976,6.333395004272461,0.9218426186632631
1H4XA,117,46,30,20,30,-0.1452349096404003,0.9639661514507164,1.1092010610911167,direct,8.0,61,1.0,0.7666666666666667,0.5573770491803278,1.0,0.7333333333333333,0.6229508196721312,0.0,0.03333333333333344,-0.06557377049180335,0.13212160766124725,8.483087821607727e-14,0.07743901759386063,6.327048301696777,0.9209188390919119
1H4XA,117,46,30,20,30,-0.1452349096404003,0.9639661514507164,1.1092010610911167,direct,10.0,61,1.0,0.7666666666666667,0.5573770491803278,1.0,0.7333333333333333,0.6229508196721312,0.0,0.03333333333333344,-0.06557377049180335,0.13212160766124725,2.0665565739975598e-17,0.07813296467065811,6.3239426612854,0.9204668048057953
