protein,context,alpha,layer,head,label,context_metric,delta_metric_from_context_baseline,clean_top3_mass,ablated_top3_mass,delta_top3_mass,clean_entropy_norm,ablated_entropy_norm,clean_cos_to_clean_l10h9,ablated_cos_to_clean_l10h9,delta_cos_to_clean_l10h9,clean_anchor_mass_to_clean_l10h9_top3,ablated_anchor_mass_to_clean_l10h9_top3,delta_anchor_mass_to_clean_l10h9_top3,keydist_jsd,is_known_anchor_head
2B61A,full,2.0,23,18,L23H18,1.0032891035079956,0.0032891035079956055,0.06429821252822876,0.06440361589193344,0.0001054033637046814,0.9322014063926384,0.9323117789066859,0.05732084438204765,0.05659310892224312,-0.0007277354598045349,0.012210329063236713,0.012121609412133694,-8.871965110301971e-05,1.3141630755967041e-05,False
2B61A,full,2.0,23,19,L23H19,1.0032891035079956,0.0032891035079956055,0.056012555956840515,0.05649786815047264,0.00048531219363212585,0.9355564299556891,0.9354634964102921,0.11204730719327927,0.11028856039047241,-0.0017587468028068542,0.017422683537006378,0.01733003929257393,-9.264424443244934e-05,9.964576477995265e-06,False
2B61A,full,2.0,24,0,L24H0,1.0032891035079956,0.0032891035079956055,0.0626220852136612,0.062245339155197144,-0.0003767460584640503,0.9324804856066032,0.9327962813711775,0.27088043093681335,0.27007603645324707,-0.0008043944835662842,0.035123515874147415,0.035030514001846313,-9.300187230110168e-05,9.080071041029187e-06,False
2B61A,full,2.0,24,1,L24H1,1.0032891035079956,0.0032891035079956055,0.04905059188604355,0.04901885986328125,-3.1732022762298584e-05,0.9525765290653733,0.9525997067361678,0.033313121646642685,0.03336755931377411,5.443766713142395e-05,0.00608815485611558,0.006092478521168232,4.323665052652359e-06,9.90929185799487e-06,False
2B61A,full,2.0,24,2,L24H2,1.0032891035079956,0.0032891035079956055,0.03406910225749016,0.034325920045375824,0.0002568177878856659,0.9601608646773074,0.9600217986525408,0.06414955109357834,0.0636439323425293,-0.0005056187510490417,0.006208003498613834,0.006183973513543606,-2.4029985070228577e-05,1.848429364664626e-05,False
2B61A,full,2.0,24,3,L24H3,1.0032891035079956,0.0032891035079956055,0.07144726067781448,0.07171913981437683,0.0002718791365623474,0.9312872812851277,0.9312098366639635,0.050875671207904816,0.050682730972766876,-0.00019294023513793945,0.0065744840539991856,0.006558398250490427,-1.6085803508758545e-05,1.2650083099103915e-05,False
2B61A,full,2.0,24,4,L24H4,1.0032891035079956,0.0032891035079956055,0.04358051344752312,0.04352258890867233,-5.79245388507843e-05,0.954277636384354,0.9542316153360939,0.0759582370519638,0.07566062361001968,-0.0002976134419441223,0.019544513896107674,0.01946847513318062,-7.603876292705536e-05,5.534342250508636e-06,False
2B61A,full,2.0,24,5,L24H5,1.0032891035079956,0.0032891035079956055,0.11961757391691208,0.11971819400787354,0.0001006200909614563,0.9117935786892392,0.9116740688242053,0.029661154374480247,0.02938995137810707,-0.0002712029963731766,0.0049492535181343555,0.00490560382604599,-4.3649692088365555e-05,1.0373897065827492e-05,False
2B61A,full,2.0,24,6,L24H6,1.0032891035079956,0.0032891035079956055,0.024455895647406578,0.024483880028128624,2.79843807220459e-05,0.9805275743012685,0.9805061795282275,0.14082349836826324,0.14121322333812714,0.0003897249698638916,0.01596810296177864,0.01603255793452263,6.445497274398804e-05,5.388322535354287e-06,False
2B61A,full,2.0,24,7,L24H7,1.0032891035079956,0.0032891035079956055,0.019662080332636833,0.019647400826215744,-1.4679506421089172e-05,0.9849587438051718,0.9850087763733771,0.0708882063627243,0.0705500915646553,-0.00033811479806900024,0.007323413155972958,0.007288808934390545,-3.460422158241272e-05,4.497367117758051e-06,False
2B61A,full,2.0,24,8,L24H8,1.0032891035079956,0.0032891035079956055,0.06026475504040718,0.061103977262973785,0.0008392222225666046,0.9454245461586432,0.9452256416280275,0.21141378581523895,0.20962996780872345,-0.001783818006515503,0.021688299253582954,0.0215725339949131,-0.00011576525866985321,8.366260884996515e-06,False
2B61A,full,2.0,24,9,L24H9,1.0032891035079956,0.0032891035079956055,0.056270383298397064,0.056062016636133194,-0.00020836666226387024,0.9656982108060976,0.9658688118348779,0.07847458124160767,0.0784919485449791,1.7367303371429443e-05,0.00754631869494915,0.007546423003077507,1.043081283569336e-07,1.0923826929208553e-05,False
2B61A,full,2.0,24,10,L24H10,1.0032891035079956,0.0032891035079956055,0.1383139193058014,0.1386304646730423,0.00031654536724090576,0.8705699182746818,0.8700590066372177,0.03031276725232601,0.03043384477496147,0.0001210775226354599,0.005903455428779125,0.005934553220868111,3.109779208898544e-05,1.623936268498558e-05,False
