feature,coefficient,abs_coefficient
aa_21_M,-0.253890,0.253890
aa_-25_Q,0.253784,0.253784
aa_-1_F,-0.253083,0.253083
flex_2,0.252116,0.252116
aa_-14_Y,-0.252103,0.252103
aa_11_C,0.251831,0.251831
aa_-13_D,-0.251558,0.251558
aa_-27_D,0.250607,0.250607
sse_-25_E,-0.249469,0.249469
aa_7_K,-0.248994,0.248994
aa_20_M,0.247478,0.247478
aa_-4_N,0.247111,0.247111
aa_12_S,0.245629,0.245629
aa_5_L,0.245534,0.245534
aa_24_F,0.245375,0.245375
aa_-23_C,0.245333,0.245333
charge_-11,-0.244798,0.244798
aa_-18_L,-0.244451,0.244451
lrf_-17,0.244038,0.244038
aa_-23_W,0.243757,0.243757
aa_-10_Q,-0.241884,0.241884
aa_5_I,-0.241381,0.241381
aa_14_G,0.241235,0.241235
aa_-29_G,-0.241130,0.241130
aa_21_H,-0.240957,0.240957
aa_8_Q,-0.240246,0.240246
aa_-6_R,-0.239985,0.239985
lrf_-1,0.239710,0.239710
aa_-2_L,0.239525,0.239525
aa_25_M,-0.238446,0.238446
aa_-8_I,0.237803,0.237803
aa_-3_H,0.237310,0.237310
aa_-24_N,0.236887,0.236887
charge_-18,0.236415,0.236415
aa_-6_Q,-0.236009,0.236009
aa_19_V,-0.235549,0.235549
sse_-30_C,-0.235308,0.235308
cnt_center_27,-0.234643,0.234643
aa_3_T,0.233875,0.233875
aa_-17_I,0.232149,0.232149
aa_16_V,-0.231340,0.231340
aa_11_G,-0.230550,0.230550
aa_-11_P,-0.230480,0.230480
aa_16_E,0.229242,0.229242
aa_3_P,-0.227775,0.227775
aa_-8_C,0.227314,0.227314
aa_-6_S,0.226365,0.226365
aa_-28_K,-0.226202,0.226202
aa_-24_M,0.225086,0.225086
aa_-3_E,-0.224948,0.224948
aa_22_A,0.223213,0.223213
aa_27_C,0.223106,0.223106
cnt_center_7,-0.222257,0.222257
sse_-27_E,0.222234,0.222234
sse_trans_-16,-0.221966,0.221966
aa_-18_N,0.221122,0.221122
aa_-25_W,-0.221068,0.221068
cnt_center_23,0.220342,0.220342
aa_-14_A,0.219830,0.219830
sse_-26_C,-0.219575,0.219575
aa_-9_N,0.218908,0.218908
aa_-1_M,0.218832,0.218832
aa_-24_S,0.218170,0.218170
aa_2_P,-0.217001,0.217001
