protein,receiver_layer,receiver_head,receiver_group,alpha_star,total_metric,replay_metric,replay_drop,replay_faithfulness,replay_fraction_of_total_drop,blocking_metric,blocking_reduction,blocking_faithfulness,blocking_fraction_of_total_drop,total_attn_diff_l1,total_attn_diff_l2,total_attn_diff_max,pass_c_attn_diff_l1,pass_c_attn_diff_l2,pass_c_attn_diff_max,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm
1PVGA,32,13,CROSS,0.25,0.3416675627231598,0.5914133787155151,0.0007167458534240723,0.9986417187391744,0.002861688581886356,0.40320664644241333,0.06153908371925354,0.641977391507249,0.24570172590163716,59.21650695800781,0.8985365629196167,0.14867597818374634,14.107641220092773,0.1772879809141159,0.03736017644405365,172.92092895507812,175.09255981445312,105.09219360351562
1PVGA,32,18,CROSS,0.25,0.3416675627231598,0.5883010625839233,0.003829061985015869,0.9927436718106698,0.01528796142943546,0.38416191935539246,0.042494356632232666,0.6058863617562441,0.16966350706896574,68.26904296875,0.6507402062416077,0.09166043996810913,19.442611694335938,0.17323075234889984,0.023796573281288147,178.58963012695312,219.04684448242188,208.77732849121094
1PVGA,11,14,ANCHOR,0.25,0.3416675627231598,0.5721591114997864,0.019971013069152832,0.9621535964499216,0.07973651998916247,0.3654574453830719,0.02378988265991211,0.5704401343817401,0.09498378713606133,46.606224060058594,0.7607488036155701,0.10549396276473999,46.606224060058594,0.7607488036155701,0.10549396276473999,179.65969848632812,142.6798095703125,99.58663940429688
1PVGA,11,16,ANCHOR,0.25,0.3416675627231598,0.5317627787590027,0.06036734580993652,0.8855998479967491,0.24102343026862152,0.42606955766677856,0.08440199494361877,0.6853041351997586,0.33698447513121227,67.21766662597656,1.176641583442688,0.1396220624446869,67.21766662597656,1.176641583442688,0.1396220624446869,176.52212524414062,179.05198669433594,69.09573364257812
1PVGA,12,10,ANCHOR,0.25,0.3416675627231598,0.5894479751586914,0.0026821494102478027,0.9949171477375559,0.010708783741896395,0.3803640902042389,0.0386965274810791,0.598689221872999,0.15450024624800499,49.244239807128906,0.5218194127082825,0.1000245213508606,29.176626205444336,0.38265934586524963,0.101458340883255,176.02796936035156,202.43682861328125,51.1857795715332
1PVGA,12,15,ANCHOR,0.25,0.3416675627231598,0.5907402634620667,0.0013898611068725586,0.9973661203792158,0.005549177077124828,0.35667943954467773,0.015011876821517944,0.553805227070105,0.059936609730764485,53.412147521972656,0.7119888663291931,0.1788264662027359,27.417007446289062,0.31673672795295715,0.06246224045753479,173.29428100585938,168.33489990234375,66.47576904296875
1PVGA,13,18,ANCHOR,0.25,0.3416675627231598,0.5898189544677734,0.0023111701011657715,0.9956201783044897,0.00922760704886848,0.36507079005241394,0.02340322732925415,0.5697073967069812,0.09344002216053561,43.28799057006836,0.6234385967254639,0.11305823922157288,29.258686065673828,0.6511046290397644,0.09110128879547119,191.8193359375,191.79803466796875,70.64816284179688
1PVGA,14,9,ANCHOR,0.25,0.3416675627231598,0.5821711421012878,0.009958982467651367,0.9811270631032201,0.039762359668681906,0.36357465386390686,0.02190709114074707,0.5668721187088122,0.08746652984503213,52.17622375488281,0.49664294719696045,0.07323433458805084,25.088542938232422,0.33350709080696106,0.07484325766563416,189.17636108398438,174.73092651367188,61.79740524291992
1PVGA,17,18,ANCHOR,0.25,0.3416675627231598,0.58777916431427,0.0043509602546691895,0.9917546397341801,0.017371699077917534,0.3589916527271271,0.017324090003967285,0.5581870254743109,0.0691683813991908,58.24879455566406,0.6090014576911926,0.09208683669567108,23.36456298828125,0.25356370210647583,0.04086397588253021,246.4901580810547,247.38330078125,75.06388092041016
1PVGA,12,8,OTHER,0.25,0.3416675627231598,0.587788999080658,0.00434112548828125,0.99177327727331,0.017332432664943626,0.3488564193248749,0.007188856601715088,0.5389800812853678,0.028702320014364367,43.68634033203125,0.41227954626083374,0.07556471228599548,25.44144058227539,0.21678224205970764,0.049227386713027954,177.11685180664062,180.64796447753906,59.742820739746094
1PVGA,13,17,OTHER,0.25,0.3416675627231598,0.5882614850997925,0.0038686394691467285,0.9926686698350201,0.015445978994372885,0.34797176718711853,0.00630420446395874,0.5373036064019439,0.025170246672796194,42.17718505859375,0.4985942244529724,0.13142800331115723,22.324058532714844,0.2168089747428894,0.056908249855041504,179.28009033203125,169.0236358642578,53.41976547241211
