protein,mode,alpha,head_label,layer,head,anchor_mass,top1_mass,top3_mass,entropy_norm
1PVGA,ln_all,4.0,L13H18,13,18,0.0016510835703229532,0.04496406018733978,0.08737039566040039,0.9430583632766857
1PVGA,ln_all,4.0,L14H9,14,9,0.001009851124308625,0.0568462572991848,0.13543781638145447,0.8591080368469084
1PVGA,ln_all,8.0,L10H9,10,9,7.975687887906702e-10,0.3257446885108948,0.45532575249671936,0.5856152278086879
1PVGA,ln_all,8.0,L11H16,11,16,2.7941768343531237e-10,0.5684953927993774,0.6583459973335266,0.41281976164850115
1PVGA,ln_all,8.0,L13H18,13,18,0.0025679632857418255,0.030793609097599983,0.06902157515287399,0.9506943432169822
1PVGA,ln_all,8.0,L14H9,14,9,0.00017221226710883997,0.06389328092336655,0.14639225602149963,0.8513658175666602
1PVGA,ln_all,12.0,L10H9,10,9,2.793578085871773e-13,0.3257763385772705,0.45533812046051025,0.5856050967376101
1PVGA,ln_all,12.0,L11H16,11,16,3.6032731713930843e-06,0.05544658005237579,0.15490609407424927,0.7039749978600459
1PVGA,ln_all,12.0,L13H18,13,18,0.02382744862902797,0.03826034441590309,0.07727301865816116,0.9503818681274131
1PVGA,ln_all,12.0,L14H9,14,9,0.0011500533131515445,0.2833617031574249,0.6508201956748962,0.47550483297948115
