protein,target_layer,target_head,source_layer,source_head,source_group,upstream_mode,alpha_star,indirect_metric,indirect_drop,indirect_fraction_of_total_drop,pass_c_attn_diff_l1,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm,target_total_attn_diff_l1
2B61A,32,13,13,18,,free,0.25,0.5601709485054016,0.013623535633087158,0.0562207407835582,17.22784423828125,174.40931701660156,176.467041015625,108.88092803955078,51.271724700927734
2B61A,32,13,14,0,,free,0.25,0.5585145950317383,0.015279889106750488,0.06305607500198315,19.925996780395508,174.26266479492188,176.3877410888672,107.8275375366211,51.271724700927734
2B61A,32,13,14,9,,free,0.25,0.5575393438339233,0.01625514030456543,0.06708067964705383,21.108318328857422,174.21946716308594,176.37738037109375,107.56122589111328,51.271724700927734
2B61A,32,13,14,13,,free,0.25,0.5597322583198547,0.014062225818634033,0.05803109955312917,19.63799285888672,174.290283203125,176.44754028320312,107.60075378417969,51.271724700927734
2B61A,32,13,14,14,,free,0.25,0.5593397617340088,0.01445472240447998,0.05965082951204559,20.56047821044922,174.3421630859375,176.4076385498047,107.61054992675781,51.271724700927734
2B61A,32,13,14,19,,free,0.25,0.5602229237556458,0.013571560382843018,0.05600625262498947,19.56238555908203,174.2494659423828,176.362548828125,107.74737548828125,51.271724700927734
2B61A,32,13,15,2,,free,0.25,0.5599411725997925,0.013853311538696289,0.05716896538365278,21.993824005126953,173.5314483642578,175.9626922607422,106.55537414550781,51.271724700927734
2B61A,32,13,16,7,,free,0.25,0.5564814805984497,0.017313003540039062,0.07144620239737252,27.746658325195312,173.35580444335938,175.9124755859375,105.09437561035156,51.271724700927734
2B61A,32,13,16,15,,free,0.25,0.5572706460952759,0.01652383804321289,0.06818952439341605,24.745586395263672,173.31930541992188,175.9411163330078,105.2232894897461,51.271724700927734
2B61A,32,13,16,17,,free,0.25,0.5587928891181946,0.01500159502029419,0.06190762865753657,24.45470428466797,173.34515380859375,176.00762939453125,105.54141235351562,51.271724700927734
2B61A,32,13,17,5,,free,0.25,0.554144024848938,0.01965045928955078,0.08109226618915175,29.78145980834961,173.28973388671875,175.86073303222656,106.63616943359375,51.271724700927734
2B61A,32,13,17,18,,free,0.25,0.55391526222229,0.01987922191619873,0.08203630925404487,29.63469886779785,173.26840209960938,175.7835235595703,106.0896987915039,51.271724700927734
2B61A,32,13,19,0,,free,0.25,0.5548568964004517,0.01893758773803711,0.07815043318859892,33.81488037109375,173.35313415527344,176.130859375,106.13072204589844,51.271724700927734
2B61A,32,13,19,15,,free,0.25,0.5548449754714966,0.018949508666992188,0.07819962772038073,34.045623779296875,173.3812255859375,176.10023498535156,106.26496124267578,51.271724700927734
2B61A,32,13,22,14,,free,0.25,0.5539534687995911,0.019841015338897705,0.08187864077968414,37.02312469482422,173.0287322998047,175.5301055908203,106.96839141845703,51.271724700927734
2B61A,32,13,26,16,,free,0.25,0.5506454110145569,0.023149073123931885,0.09553012334913913,39.7042236328125,172.55419921875,175.3213348388672,106.17227935791016,51.271724700927734
2B61A,32,13,27,15,,free,0.25,0.5484578609466553,0.025336623191833496,0.10455756590376197,40.8929443359375,172.6399688720703,175.42437744140625,106.71652221679688,51.271724700927734
2B61A,32,13,30,1,,free,0.25,0.5357940793037415,0.038000404834747314,0.15681765493356586,49.97249984741211,172.10635375976562,174.7820587158203,106.0992431640625,51.271724700927734
2B61A,32,18,10,9,,free,0.25,0.5714848637580872,0.0023096203804016113,0.009531194560068675,7.57924747467041,169.99612426757812,210.59442138671875,205.176513671875,71.75942993164062
2B61A,32,18,11,1,,free,0.25,0.5711714029312134,0.0026230812072753906,0.010824764773271626,8.979766845703125,170.03720092773438,210.6959686279297,205.36181640625,71.75942993164062
2B61A,32,18,11,6,,free,0.25,0.5716424584388733,0.0021520256996154785,0.008880842849913018,9.37794017791748,169.8780059814453,210.61436462402344,204.8856201171875,71.75942993164062
2B61A,32,18,11,16,,free,0.25,0.5707701444625854,0.0030243396759033203,0.012480652713047682,11.394238471984863,170.0122528076172,210.7757568359375,205.639404296875,71.75942993164062
2B61A,32,18,12,3,,free,0.25,0.571100652217865,0.0026938319206237793,0.011116734319396727,17.938709259033203,169.87368774414062,210.4564666748047,205.04847717285156,71.75942993164062
2B61A,32,18,13,8,,free,0.25,0.5663558840751648,0.007438600063323975,0.03069714185919664,33.08143615722656,170.20181274414062,210.9270782470703,207.22164916992188,71.75942993164062
2B61A,32,18,13,18,,free,0.25,0.5667983889579773,0.006996095180511475,0.028871040839455492,31.9212589263916,170.2355194091797,211.0001983642578,207.30421447753906,71.75942993164062
2B61A,32,18,14,0,,free,0.25,0.5659657716751099,0.007828712463378906,0.03230703291175669,34.7064323425293,170.1910858154297,210.84169006347656,207.81968688964844,71.75942993164062
2B61A,32,18,14,9,,free,0.25,0.5637170672416687,0.010077416896820068,0.04158684341442027,35.87799835205078,170.2261199951172,210.599853515625,207.51971435546875,71.75942993164062
2B61A,32,18,14,13,,free,0.25,0.5653157830238342,0.008478701114654541,0.03498936475716042,34.2946662902832,170.2162628173828,210.85617065429688,207.66871643066406,71.75942993164062
2B61A,32,18,14,14,,free,0.25,0.5658086538314819,0.007985830307006836,0.03295541684064108,37.547847747802734,170.25013732910156,210.7725372314453,207.62364196777344,71.75942993164062
2B61A,32,18,14,19,,free,0.25,0.5655226111412048,0.008271872997283936,0.034135839630745846,33.54676055908203,170.21139526367188,210.76742553710938,207.78916931152344,71.75942993164062
2B61A,32,18,15,2,,free,0.25,0.5633651614189148,0.010429322719573975,0.04303906599261959,35.059486389160156,169.6306915283203,209.9237823486328,208.03192138671875,71.75942993164062
2B61A,32,18,16,7,,free,0.25,0.5616182684898376,0.012176215648651123,0.05024803267992746,41.3598747253418,169.67962646484375,210.1464080810547,208.16317749023438,71.75942993164062
2B61A,32,18,16,15,,free,0.25,0.5609270930290222,0.012867391109466553,0.053100331632637374,38.225589752197266,169.65945434570312,210.03587341308594,207.2909698486328,71.75942993164062
2B61A,32,18,16,17,,free,0.25,0.5612741708755493,0.012520313262939453,0.05166803283980969,39.14751052856445,169.68246459960938,210.11181640625,207.5576629638672,71.75942993164062
2B61A,32,18,17,5,,free,0.25,0.557654857635498,0.016139626502990723,0.066603984634088,44.85652160644531,169.24832153320312,209.22265625,204.42544555664062,71.75942993164062
2B61A,32,18,17,18,,free,0.25,0.5572641491889954,0.016530334949493408,0.06821633541323714,44.149322509765625,169.3605499267578,209.32537841796875,205.0429229736328,71.75942993164062
2B61A,32,18,19,0,,free,0.25,0.5574616193771362,0.01633286476135254,0.06740142799427129,46.972816467285156,169.20664978027344,209.27639770507812,205.735595703125,71.75942993164062
2B61A,32,18,19,15,,free,0.25,0.5563808083534241,0.017413675785064697,0.07186165021826998,48.11721420288086,169.24642944335938,209.35488891601562,205.8842010498047,71.75942993164062
2B61A,32,18,22,14,,free,0.25,0.5576579570770264,0.016136527061462402,0.06659119405582473,49.07958221435547,169.37765502929688,209.33584594726562,206.1317596435547,71.75942993164062
2B61A,32,18,26,16,,free,0.25,0.5480557084083557,0.025738775730133057,0.10621714343342166,49.88777160644531,169.31617736816406,209.29898071289062,207.199951171875,71.75942993164062
