n,top1_col,top1_conc,tol2_conc,topk_exact_conc,topk_tol2_conc,entropy_norm,msa_set,group,label
20,263,0.3,0.8,0.4,0.95,0.2204711806158105,ALL,pfam_pair,PF00561|PF12697
20,784,0.45,0.45,0.95,0.95,0.19485918460443313,ALL,pfam_pair,PF00561|PF07859
19,265,0.21052631578947367,0.47368421052631576,0.3684210526315789,0.631578947368421,0.2599554022033868,ALL,pfam_pair,PF00561|PF00756
16,262,0.25,0.4375,0.3125,0.5,0.28484736149180434,ALL,pfam_pair,PF00561|PF00041
20,1103,0.35,0.35,0.5,0.5,0.22803315130352397,ALL,pfam_pair,PF00561|PF07686
18,262,0.2222222222222222,0.3888888888888889,0.2777777777777778,0.4444444444444444,0.2869809986323466,ALL,pfam_pair,PF00561|PF07679
20,784,0.55,0.55,1.0,1.0,0.17185423071967204,ALL,pfam_pair,PF12697|PF07859
19,265,0.2631578947368421,0.5263157894736842,0.42105263157894735,0.7894736842105263,0.2334562261571133,ALL,pfam_pair,PF12697|PF00756
16,265,0.1875,0.375,0.1875,0.5,0.3044125965791931,ALL,pfam_pair,PF12697|PF00041
20,1103,0.35,0.35,0.5,0.5,0.2436853393734072,ALL,pfam_pair,PF12697|PF07686
18,265,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.4444444444444444,0.3043723187100101,ALL,pfam_pair,PF12697|PF07679
19,784,0.631578947368421,0.631578947368421,0.7894736842105263,0.8421052631578947,0.14691392826268992,ALL,pfam_pair,PF07859|PF00756
16,784,0.5625,0.5625,0.625,0.625,0.2017993598350439,ALL,pfam_pair,PF07859|PF00041
20,784,0.45,0.45,0.5,0.5,0.16159474997817133,ALL,pfam_pair,PF07859|PF07686
18,784,0.5,0.5,0.5555555555555556,0.5555555555555556,0.21316055271525716,ALL,pfam_pair,PF07859|PF07679
15,784,0.2,0.2,0.3333333333333333,0.4,0.29485527257849614,ALL,pfam_pair,PF00756|PF00041
19,1103,0.3684210526315789,0.3684210526315789,0.5263157894736842,0.5263157894736842,0.231261855535356,ALL,pfam_pair,PF00756|PF07686
17,784,0.17647058823529413,0.17647058823529413,0.29411764705882354,0.35294117647058826,0.2949431836177387,ALL,pfam_pair,PF00756|PF07679
16,1103,0.4375,0.5625,0.625,0.875,0.22665721787767368,ALL,pfam_pair,PF00041|PF07686
14,1186,0.21428571428571427,0.2857142857142857,0.5714285714285714,0.6428571428571429,0.29317520805146946,ALL,pfam_pair,PF00041|PF07679
18,1103,0.4444444444444444,0.4444444444444444,0.7222222222222222,0.7222222222222222,0.17979630109531589,ALL,pfam_pair,PF07686|PF07679
