protein,target_layer,target_head,source_layer,source_head,source_group,alpha_star,indirect_metric,indirect_drop,indirect_fraction_of_total_drop,pass_c_attn_diff_l1,pass_c_q_norm,pass_c_k_norm,pass_c_ctx_norm,target_total_attn_diff_l1
2B61A,30,1,14,0,,0.25,0.5728638172149658,0.0009306669235229492,0.0038406170962066713,12.767520904541016,175.32630920410156,183.91189575195312,95.7449722290039,66.11669158935547
2B61A,30,1,16,15,,0.25,0.5731469392776489,0.0006475448608398438,0.002672246966388451,11.762054443359375,175.29783630371094,183.95091247558594,95.6502914428711,66.11669158935547
2B61A,30,1,13,18,,0.25,0.5732325315475464,0.0005619525909423828,0.002319030228194985,12.777202606201172,175.27804565429688,183.93504333496094,95.7258529663086,66.11669158935547
2B61A,30,1,12,3,,0.25,0.5730223655700684,0.0007721185684204102,0.003186329823508468,13.253905296325684,175.36279296875,183.895751953125,95.76506042480469,66.11669158935547
2B61A,30,1,14,19,,0.25,0.5732424855232239,0.0005519986152648926,0.0022779527941571656,12.340974807739258,175.3397979736328,183.9232940673828,95.67865753173828,66.11669158935547
2B61A,30,1,16,7,,0.25,0.5740119218826294,-0.000217437744140625,-0.000897308259700393,13.511017799377441,175.357421875,183.9799346923828,95.64800262451172,66.11669158935547
2B61A,30,1,19,15,,0.25,0.572219729423523,0.0015747547149658203,0.006498597648378394,12.914966583251953,175.3857421875,183.9377899169922,95.67739868164062,66.11669158935547
2B61A,30,1,14,13,,0.25,0.5730857253074646,0.0007087588310241699,0.0029248608870880957,12.864444732666016,175.35879516601562,183.98045349121094,95.63133239746094,66.11669158935547
2B61A,27,15,11,1,,0.25,0.5732946991920471,0.0004997849464416504,0.002062480744952795,7.512640476226807,174.65065002441406,169.4244842529297,77.29503631591797,52.31636428833008
2B61A,27,15,22,14,,0.25,0.5738217830657959,-2.7298927307128906e-05,-0.00011265547778036732,8.092549324035645,174.69857788085938,169.40179443359375,77.37980651855469,52.31636428833008
2B61A,27,15,14,9,,0.25,0.573544979095459,0.00024950504302978516,0.0010296415501934882,7.714344024658203,174.63511657714844,169.34524536132812,77.25164794921875,52.31636428833008
2B61A,27,15,11,16,,0.25,0.5739473700523376,-0.00015288591384887695,-0.0006309198701018389,10.072290420532227,174.65440368652344,169.18991088867188,76.65773010253906,52.31636428833008
2B61A,27,15,19,0,,0.25,0.5739421844482422,-0.00014770030975341797,-0.0006095202487767473,7.698075294494629,174.67446899414062,169.35824584960938,77.27882385253906,52.31636428833008
2B61A,27,15,17,18,,0.25,0.5738314390182495,-3.695487976074219e-05,-0.00015250304852364136,7.825953483581543,174.61573791503906,169.397216796875,77.30493927001953,52.31636428833008
2B61A,27,15,14,14,,0.25,0.5736318230628967,0.00016266107559204102,0.0006712593861629311,7.939813613891602,174.6626739501953,169.38980102539062,77.37841796875,52.31636428833008
2B61A,27,15,16,17,,0.25,0.5738357305526733,-4.124641418457031e-05,-0.00017021307996509648,7.85528039932251,174.69264221191406,169.38731384277344,77.29724884033203,52.31636428833008
2B61A,27,15,15,2,,0.25,0.574224591255188,-0.00043010711669921875,-0.0017749387066880581,7.871013641357422,174.65988159179688,169.38485717773438,77.28534698486328,52.31636428833008
2B61A,27,15,13,8,,0.25,0.5739651322364807,-0.00017064809799194336,-0.0007042197224567503,7.74528169631958,174.7037353515625,169.40325927734375,77.29891967773438,52.31636428833008
2B61A,27,15,11,6,,0.25,0.5740829110145569,-0.00028842687606811523,-0.0011902616964611298,7.578539848327637,174.71754455566406,169.3706817626953,77.22762298583984,52.31636428833008
2B61A,27,15,17,5,,0.25,0.5738139748573303,-1.9490718841552734e-05,-8.043305946327536e-05,7.796259880065918,174.6719512939453,169.399658203125,77.33187866210938,52.31636428833008
2B61A,27,15,14,0,,0.25,0.57398521900177,-0.00019073486328125,-0.0007871125085091166,7.881413459777832,174.67758178710938,169.3787841796875,77.33038330078125,52.31636428833008
2B61A,27,15,16,15,,0.25,0.5738233923912048,-2.8908252716064453e-05,-0.00011929673957091299,7.857292175292969,174.66525268554688,169.38526916503906,77.39930725097656,52.31636428833008
2B61A,27,15,13,18,,0.25,0.5738940238952637,-9.953975677490234e-05,-0.0004107743403781953,7.913840293884277,174.6085205078125,169.3982391357422,77.22358703613281,52.31636428833008
2B61A,27,15,12,3,,0.25,0.5740475654602051,-0.0002530813217163086,-0.0010443999097280341,8.130284309387207,174.61187744140625,169.37115478515625,77.27650451660156,52.31636428833008
2B61A,27,15,14,19,,0.25,0.573839545249939,-4.506111145019531e-05,-0.0001859553301352788,7.883144855499268,174.62667846679688,169.39540100097656,77.37528228759766,52.31636428833008
